country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,5.0468,3.3405,6.753,"(3.3405, 6.7530)",271
BE,10,4.7279,3.2741,6.1817,"(3.2741, 6.1817)",271
BG,10,3.7427,2.2931,5.1923,"(2.2931, 5.1923)",271
CH,10,1.6886,1.3101,2.0672,"(1.3101, 2.0672)",271
CZ,10,3.6048,1.1575,6.0521,"(1.1575, 6.0521)",271
DE,10,1.9747,1.6206,2.3288,"(1.6206, 2.3288)",271
DK,10,3.8818,2.5193,5.2443,"(2.5193, 5.2443)",271
EE,10,0.0,,,,271
EL,10,1.3485,1.3025,1.3944,"(1.3025, 1.3944)",271
ES,10,1.3502,1.2785,1.422,"(1.2785, 1.4220)",271
FI,10,0.0,,,,271
FR,10,1.8484,1.6559,2.0408,"(1.6559, 2.0408)",271
HR,10,4.492,0.9938,7.9902,"(0.9938, 7.9902)",271
HU,10,4.1166,2.9996,5.2336,"(2.9996, 5.2336)",271
IE,10,15.693,0.5625,30.8235,"(0.5625, 30.8235)",271
IT,10,1.304,1.2246,1.3835,"(1.2246, 1.3835)",271
LT,10,0.0,,,,271
LU,10,3.0644,1.752,4.3768,"(1.7520, 4.3768)",271
LV,10,0.0,,,,271
NL,10,4.1078,2.8262,5.3895,"(2.8262, 5.3895)",271
NO,10,3.5064,1.7684,5.2444,"(1.7684, 5.2444)",271
PL,10,30.2168,14.6527,45.7808,"(14.6527, 45.7808)",271
PT,10,1.3958,1.3382,1.4533,"(1.3382, 1.4533)",271
RO,10,6.0964,-0.0528,12.2455,"(-0.0528, 12.2455)",271
SE,10,2.4878,1.853,3.1227,"(1.8530, 3.1227)",271
SI,10,0.7698,0.2732,1.2664,"(0.2732, 1.2664)",271
SK,10,1.0474,1.0325,1.0623,"(1.0325, 1.0623)",271
UK,10,3.2682,2.7867,3.7498,"(2.7867, 3.7498)",271
AT,10,3.4654,2.3947,4.5362,"(2.3947, 4.5362)",301
BE,10,10.2201,-0.9622,21.4025,"(-0.9622, 21.4025)",301
BG,10,4.8288,3.0281,6.6296,"(3.0281, 6.6296)",301
CH,10,1.4647,1.3042,1.6253,"(1.3042, 1.6253)",301
CZ,10,4.5256,1.3164,7.7348,"(1.3164, 7.7348)",301
DE,10,2.7841,2.0192,3.5489,"(2.0192, 3.5489)",301
DK,10,86.0877,-25.8767,198.0521,"(-25.8767, 198.0521)",301
EE,10,3.9982,-5.0464,13.0429,"(-5.0464, 13.0429)",301
EL,10,1.2581,1.2042,1.312,"(1.2042, 1.3120)",301
ES,10,1.4209,1.3328,1.509,"(1.3328, 1.5090)",301
FI,10,3.3643,-4.2463,10.9749,"(-4.2463, 10.9749)",301
FR,10,2.007,1.844,2.1699,"(1.8440, 2.1699)",301
HR,10,6.9536,4.8969,9.0102,"(4.8969, 9.0102)",301
HU,10,4.0267,2.9672,5.0863,"(2.9672, 5.0863)",301
IE,10,11.6673,1.3836,21.9511,"(1.3836, 21.9511)",301
IT,10,1.5129,1.3699,1.656,"(1.3699, 1.6560)",301
LT,10,12.9932,-2.5039,28.4902,"(-2.5039, 28.4902)",301
LU,10,139.0878,-159.885,438.0606,"(-159.8850, 438.0606)",301
LV,10,7.2451,-8.2889,22.7791,"(-8.2889, 22.7791)",301
NL,10,13.0688,7.8108,18.3268,"(7.8108, 18.3268)",301
NO,10,1.5051,-0.0621,3.0723,"(-0.0621, 3.0723)",301
PL,10,14.2521,6.7407,21.7634,"(6.7407, 21.7634)",301
PT,10,1.5796,1.4147,1.7444,"(1.4147, 1.7444)",301
RO,10,2.5798,2.3581,2.8014,"(2.3581, 2.8014)",301
SE,10,14.6901,3.9736,25.4065,"(3.9736, 25.4065)",301
SI,10,1.0222,0.4736,1.5709,"(0.4736, 1.5709)",301
SK,10,1.0332,1.0246,1.0417,"(1.0246, 1.0417)",301
UK,10,8.138,-1.7525,18.0285,"(-1.7525, 18.0285)",301
AT,10,4.0577,2.9791,5.1363,"(2.9791, 5.1363)",332
BE,10,10.7636,3.2468,18.2804,"(3.2468, 18.2804)",332
BG,10,2.8484,2.2014,3.4954,"(2.2014, 3.4954)",332
CH,10,1.2442,1.1445,1.3438,"(1.1445, 1.3438)",332
CZ,10,2.6337,0.8791,4.3883,"(0.8791, 4.3883)",332
DE,10,5.419,3.5419,7.2962,"(3.5419, 7.2962)",332
DK,10,7.0337,-2.1045,16.1718,"(-2.1045, 16.1718)",332
EE,10,0.0,,,,332
EL,10,1.3806,1.2793,1.4819,"(1.2793, 1.4819)",332
ES,10,1.3911,1.2731,1.5091,"(1.2731, 1.5091)",332
FI,10,0.0,,,,332
FR,10,1.7347,1.5257,1.9436,"(1.5257, 1.9436)",332
HR,10,4.8237,2.8114,6.836,"(2.8114, 6.8360)",332
HU,10,3.0998,2.5156,3.6841,"(2.5156, 3.6841)",332
IE,10,0.0,,,,332
IT,10,1.5434,1.3852,1.7016,"(1.3852, 1.7016)",332
LT,10,1.6876,-0.9116,4.2867,"(-0.9116, 4.2867)",332
LU,10,3.6474,-3.7793,11.0741,"(-3.7793, 11.0741)",332
LV,10,2.7086,-0.8406,6.2578,"(-0.8406, 6.2578)",332
NL,10,14.0593,-3.7264,31.845,"(-3.7264, 31.8450)",332
NO,10,1.5541,0.473,2.6353,"(0.4730, 2.6353)",332
PL,10,15.2225,7.73,22.715,"(7.7300, 22.7150)",332
PT,10,1.5703,1.4681,1.6725,"(1.4681, 1.6725)",332
RO,10,2.7794,2.4994,3.0594,"(2.4994, 3.0594)",332
SE,10,8.5387,-0.3479,17.4252,"(-0.3479, 17.4252)",332
SI,10,1.2463,1.0909,1.4016,"(1.0909, 1.4016)",332
SK,10,1.0281,1.0155,1.0407,"(1.0155, 1.0407)",332
UK,10,5.886,0.019,11.7529,"(0.0190, 11.7529)",332
AT,10,3.769,2.8705,4.6675,"(2.8705, 4.6675)",362
BE,10,9.5646,-2.4916,21.6208,"(-2.4916, 21.6208)",362
BG,10,2.5151,1.9022,3.1279,"(1.9022, 3.1279)",362
CH,10,1.373,1.1621,1.5839,"(1.1621, 1.5839)",362
CZ,10,4.0528,1.8936,6.212,"(1.8936, 6.2120)",362
DE,10,67.5427,-14.1484,149.2338,"(-14.1484, 149.2338)",362
DK,10,0.5254,-0.2837,1.3344,"(-0.2837, 1.3344)",362
EE,10,0.1,-0.1262,0.3262,"(-0.1262, 0.3262)",362
EL,10,1.367,1.2726,1.4614,"(1.2726, 1.4614)",362
ES,10,1.5259,1.3551,1.6968,"(1.3551, 1.6968)",362
FI,10,0.2287,-0.1184,0.5759,"(-0.1184, 0.5759)",362
FR,10,2.4577,2.1231,2.7924,"(2.1231, 2.7924)",362
HR,10,4.9849,3.9974,5.9724,"(3.9974, 5.9724)",362
HU,10,22.2271,-11.5784,56.0326,"(-11.5784, 56.0326)",362
IE,10,0.8016,0.4994,1.1038,"(0.4994, 1.1038)",362
IT,10,1.224,1.1613,1.2867,"(1.1613, 1.2867)",362
LT,10,0.3286,-0.4148,1.072,"(-0.4148, 1.0720)",362
LU,10,0.0,,,,362
LV,10,0.0,,,,362
NL,10,5.4609,1.0496,9.8722,"(1.0496, 9.8722)",362
NO,10,1.031,1.0116,1.0504,"(1.0116, 1.0504)",362
PL,10,22.8399,0.6687,45.0112,"(0.6687, 45.0112)",362
PT,10,1.4847,1.3975,1.5718,"(1.3975, 1.5718)",362
RO,10,2.4016,2.1071,2.696,"(2.1071, 2.6960)",362
SE,10,0.0,,,,362
SI,10,2.5725,-0.4197,5.5647,"(-0.4197, 5.5647)",362
SK,10,1.0511,1.0299,1.0722,"(1.0299, 1.0722)",362
UK,10,306.9434,-381.4489,995.3357,"(-381.4489, 995.3357)",362
