country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.227,1.1672,1.2868,"(1.1672, 1.2868)"
BE,10,1.379,1.3461,1.4119,"(1.3461, 1.4119)"
BG,10,1.342,1.2988,1.3852,"(1.2988, 1.3852)"
CH,10,1.075,1.0627,1.0873,"(1.0627, 1.0873)"
CZ,10,1.139,1.1217,1.1563,"(1.1217, 1.1563)"
DE,10,1.333,1.3054,1.3606,"(1.3054, 1.3606)"
DK,10,1.273,1.2091,1.3369,"(1.2091, 1.3369)"
EE,10,1.051,1.0406,1.0614,"(1.0406, 1.0614)"
EL,10,1.198,1.1728,1.2232,"(1.1728, 1.2232)"
ES,10,1.23,1.2026,1.2574,"(1.2026, 1.2574)"
FI,10,1.018,1.0106,1.0254,"(1.0106, 1.0254)"
FR,10,1.203,1.174,1.232,"(1.1740, 1.2320)"
HR,10,1.228,1.1869,1.2691,"(1.1869, 1.2691)"
HU,10,1.188,1.1564,1.2196,"(1.1564, 1.2196)"
IE,10,1.0,,,N/A
IT,10,1.19,1.1648,1.2152,"(1.1648, 1.2152)"
LT,10,1.396,1.3612,1.4308,"(1.3612, 1.4308)"
LU,10,1.268,1.2475,1.2885,"(1.2475, 1.2885)"
LV,10,1.079,1.0641,1.0939,"(1.0641, 1.0939)"
NL,10,1.311,1.2544,1.3676,"(1.2544, 1.3676)"
NO,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)"
PL,10,1.041,1.0282,1.0538,"(1.0282, 1.0538)"
PT,10,1.133,1.0993,1.1667,"(1.0993, 1.1667)"
RO,10,1.336,1.299,1.373,"(1.2990, 1.3730)"
SE,10,1.071,1.0506,1.0914,"(1.0506, 1.0914)"
SI,10,1.016,1.011,1.021,"(1.0110, 1.0210)"
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)"
UK,10,1.312,1.2532,1.3708,"(1.2532, 1.3708)"
