country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,2.4706,2.2443,2.6968,"(2.2443, 2.6968)"
BE,10,2.9469,2.6251,3.2686,"(2.6251, 3.2686)"
BG,10,2.0199,1.7855,2.2543,"(1.7855, 2.2543)"
CH,10,1.1417,1.1077,1.1758,"(1.1077, 1.1758)"
CZ,10,1.4062,1.3296,1.4827,"(1.3296, 1.4827)"
DE,10,2.1642,1.9584,2.37,"(1.9584, 2.3700)"
DK,10,4.9641,3.4508,6.4773,"(3.4508, 6.4773)"
EE,10,6.1772,3.9595,8.3948,"(3.9595, 8.3948)"
EL,10,1.2622,1.2329,1.2916,"(1.2329, 1.2916)"
ES,10,1.5227,1.4393,1.606,"(1.4393, 1.6060)"
FI,10,2.0327,0.0445,4.0209,"(0.0445, 4.0209)"
FR,10,1.6654,1.58,1.7508,"(1.5800, 1.7508)"
HR,10,3.7539,3.1856,4.3222,"(3.1856, 4.3222)"
HU,10,2.6931,2.5246,2.8615,"(2.5246, 2.8615)"
IE,10,1.4749,1.0255,1.9243,"(1.0255, 1.9243)"
IT,10,1.3493,1.3061,1.3925,"(1.3061, 1.3925)"
LT,10,7.043,5.6975,8.3886,"(5.6975, 8.3886)"
LU,10,2.1376,1.8634,2.4118,"(1.8634, 2.4118)"
LV,10,2.6833,2.1595,3.207,"(2.1595, 3.2070)"
NL,10,4.6711,3.8244,5.5178,"(3.8244, 5.5178)"
NO,10,1.0148,1.0117,1.0179,"(1.0117, 1.0179)"
PL,10,2.3256,1.0191,3.6321,"(1.0191, 3.6321)"
PT,10,1.6136,1.521,1.7062,"(1.5210, 1.7062)"
RO,10,2.2469,2.1315,2.3622,"(2.1315, 2.3622)"
SE,10,5.3692,4.1845,6.5538,"(4.1845, 6.5538)"
SI,10,1.0043,0.9773,1.0314,"(0.9773, 1.0314)"
SK,10,1.0041,1.0008,1.0075,"(1.0008, 1.0075)"
UK,10,2.2786,1.965,2.5923,"(1.9650, 2.5923)"
