country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,1.168,1.1219,1.2141,"(1.1219, 1.2141)",271
BE,10,1.283,1.2536,1.3124,"(1.2536, 1.3124)",271
BG,10,1.385,1.3494,1.4206,"(1.3494, 1.4206)",271
CH,10,1.063,1.0562,1.0698,"(1.0562, 1.0698)",271
CZ,10,1.141,1.1265,1.1555,"(1.1265, 1.1555)",271
DE,10,1.278,1.2498,1.3062,"(1.2498, 1.3062)",271
DK,10,1.123,1.0996,1.1464,"(1.0996, 1.1464)",271
EE,10,1.036,1.0247,1.0473,"(1.0247, 1.0473)",271
EL,10,1.2,1.1739,1.2261,"(1.1739, 1.2261)",271
ES,10,1.099,1.0845,1.1135,"(1.0845, 1.1135)",271
FI,10,1.012,1.009,1.015,"(1.0090, 1.0150)",271
FR,10,1.173,1.1396,1.2064,"(1.1396, 1.2064)",271
HR,10,1.128,1.1093,1.1467,"(1.1093, 1.1467)",271
HU,10,1.14,1.098,1.182,"(1.0980, 1.1820)",271
IE,10,1.0,,,,271
IT,10,1.112,1.0999,1.1241,"(1.0999, 1.1241)",271
LT,10,1.238,1.204,1.272,"(1.2040, 1.2720)",271
LU,10,1.268,1.2386,1.2974,"(1.2386, 1.2974)",271
LV,10,1.055,1.0442,1.0658,"(1.0442, 1.0658)",271
NL,10,1.226,1.1909,1.2611,"(1.1909, 1.2611)",271
NO,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)",271
PL,10,1.019,1.0086,1.0294,"(1.0086, 1.0294)",271
PT,10,1.054,1.0432,1.0648,"(1.0432, 1.0648)",271
RO,10,1.195,1.1616,1.2284,"(1.1616, 1.2284)",271
SE,10,1.102,1.0886,1.1154,"(1.0886, 1.1154)",271
SI,10,1.011,1.0087,1.0133,"(1.0087, 1.0133)",271
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)",271
UK,10,1.199,1.1753,1.2227,"(1.1753, 1.2227)",271
AT,10,1.143,1.1233,1.1627,"(1.1233, 1.1627)",301
BE,10,1.333,1.2929,1.3731,"(1.2929, 1.3731)",301
BG,10,1.296,1.266,1.326,"(1.2660, 1.3260)",301
