country,n_scenarios,ratio
AT,1000,4.8122
BE,1000,6.486
BG,1000,2.3643
CH,1000,1.1466
CZ,1000,1.632
DE,1000,3.7194
DK,1000,8.2552
EE,1000,0.0
EL,1000,1.4124
ES,1000,1.3919
FI,1000,3906344.8333
FR,1000,1.6168
HR,1000,3.5575
HU,1000,2.6187
IE,1000,0.0
IT,1000,1.4041
LT,1000,11.5721
LU,1000,4.2219
LV,1000,7.352
NL,1000,8.6
NO,1000,1.022
PL,1000,6.2366
PT,1000,1.6537
RO,1000,2.8126
SE,1000,8.4935
SI,1000,1.0453
SK,1000,1.0049
UK,1000,5.4051
