country,n_scenarios,ratio
AT,1000,3.1729
BE,1000,3.4682
BG,1000,2.4841
CH,1000,1.2219
CZ,1000,1.3695
DE,1000,2.8588
DK,1000,10.0213
EE,1000,44.7124
EL,1000,1.2554
ES,1000,1.4262
FI,1000,104.8488
FR,1000,2.1891
HR,1000,5.2362
HU,1000,3.8041
IE,1000,9.1647
IT,1000,1.4118
LT,1000,12.9467
LU,1000,2.051
LV,1000,6.9464
NL,1000,5.8928
NO,1000,1.0136
PL,1000,8.5606
PT,1000,1.5296
RO,1000,2.5271
SE,1000,6.7433
SI,1000,1.0761
SK,1000,1.0131
UK,1000,2.7437
