country,n_scenarios,ratio,day
AT,1000,3.2065,271
BE,1000,2.2703,271
BG,1000,2.0456,271
CH,1000,1.0979,271
CZ,1000,1.3058,271
DE,1000,1.9249,271
DK,1000,3.2257,271
EE,1000,14.3832,271
EL,1000,1.3285,271
ES,1000,1.3987,271
FI,1000,31.8941,271
FR,1000,1.7679,271
HR,1000,3.7937,271
HU,1000,2.7176,271
IE,1000,10.4176,271
IT,1000,1.256,271
LT,1000,0.0,271
LU,1000,0.0,271
LV,1000,6.4271,271
NL,1000,3.1576,271
NO,1000,1.0516,271
PL,1000,7.9602,271
PT,1000,0.0,271
RO,1000,2.2887,271
SE,1000,2.2641,271
SI,1000,1.003,271
SK,1000,1.0156,271
UK,1000,2.6051,271
AT,1000,2.6045,301
BE,1000,3.3295,301
BG,1000,1.9664,301
CH,1000,1.1288,301
CZ,1000,0.0,301
DE,1000,2.4038,301
DK,1000,7.9124,301
EE,1000,9.1328,301
EL,1000,1.2513,301
ES,1000,1.4978,301
FI,1000,0.9519,301
FR,1000,1.8831,301
HR,1000,4.1514,301
HU,1000,3.2308,301
IE,1000,8.4252,301
IT,1000,1.3492,301
LT,1000,6.0367,301
LU,1000,0.0,301
LV,1000,6.205,301
NL,1000,5.6548,301
NO,1000,1.0165,301
PL,1000,0.0,301
PT,1000,1.5682,301
RO,1000,2.3251,301
SE,1000,5.3421,301
SI,1000,0.0,301
SK,1000,1.015,301
UK,1000,2.427,301
AT,1000,3.4153,332
BE,1000,0.0,332
BG,1000,2.0226,332
CH,1000,1.0817,332
CZ,1000,0.0,332
DE,1000,3.3472,332
DK,1000,5.1937,332
EE,1000,18.0228,332
EL,1000,1.3536,332
ES,1000,1.4419,332
FI,1000,1.7439,332
FR,1000,1.6522,332
HR,1000,3.3456,332
HU,1000,2.3875,332
IE,1000,0.0,332
IT,1000,1.4344,332
LT,1000,6.9605,332
LU,1000,2.2601,332
LV,1000,0.0,332
NL,1000,7.2746,332
NO,1000,1.0103,332
PL,1000,0.0,332
PT,1000,1.6773,332
RO,1000,2.2982,332
SE,1000,7.9011,332
SI,1000,1.0277,332
SK,1000,1.0068,332
UK,1000,3.7655,332
AT,1000,2.7061,362
BE,1000,1.5483,362
BG,1000,1.7616,362
CH,1000,1.1608,362
CZ,1000,2.1851,362
DE,1000,3.2117,362
DK,1000,1.0992,362
EE,1000,1.0106,362
EL,1000,1.3313,362
ES,1000,1.5578,362
FI,1000,1.0,362
FR,1000,1.3446,362
HR,1000,2.9209,362
HU,1000,3.1694,362
IE,1000,1.0002,362
IT,1000,1.1717,362
LT,1000,3.2093,362
LU,1000,2.2611,362
LV,1000,0.9912,362
NL,1000,1.1523,362
NO,1000,1.0051,362
PL,1000,1.5552,362
PT,1000,1.5469,362
RO,1000,2.2379,362
SE,1000,1.014,362
SI,1000,0.0,362
SK,1000,1.0157,362
UK,1000,1.0507,362
