country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.335,1.2869,1.3831,"(1.2869, 1.3831)"
BE,10,1.421,1.3741,1.4679,"(1.3741, 1.4679)"
BG,10,1.314,1.2366,1.3914,"(1.2366, 1.3914)"
CH,10,1.063,1.0472,1.0788,"(1.0472, 1.0788)"
CZ,10,1.148,1.1265,1.1695,"(1.1265, 1.1695)"
DE,10,1.288,1.2427,1.3333,"(1.2427, 1.3333)"
DK,10,1.258,1.2177,1.2983,"(1.2177, 1.2983)"
EE,10,1.066,1.0547,1.0773,"(1.0547, 1.0773)"
EL,10,1.165,1.1286,1.2014,"(1.1286, 1.2014)"
ES,10,1.195,1.1777,1.2123,"(1.1777, 1.2123)"
FI,10,1.027,1.0222,1.0318,"(1.0222, 1.0318)"
FR,10,1.161,1.1385,1.1835,"(1.1385, 1.1835)"
HR,10,1.247,1.2172,1.2768,"(1.2172, 1.2768)"
HU,10,1.201,1.1861,1.2159,"(1.1861, 1.2159)"
IE,10,1.0,,,N/A
IT,10,1.18,1.1534,1.2066,"(1.1534, 1.2066)"
LT,10,1.343,1.3217,1.3643,"(1.3217, 1.3643)"
LU,10,1.266,1.2345,1.2975,"(1.2345, 1.2975)"
LV,10,1.081,1.0718,1.0902,"(1.0718, 1.0902)"
NL,10,1.45,1.3939,1.5061,"(1.3939, 1.5061)"
NO,10,1.018,1.0135,1.0225,"(1.0135, 1.0225)"
PL,10,1.051,1.0439,1.0581,"(1.0439, 1.0581)"
PT,10,1.165,1.1523,1.1777,"(1.1523, 1.1777)"
RO,10,1.278,1.245,1.311,"(1.2450, 1.3110)"
SE,10,1.083,1.0747,1.0913,"(1.0747, 1.0913)"
SI,10,1.019,1.0137,1.0243,"(1.0137, 1.0243)"
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)"
UK,10,1.417,1.3627,1.4713,"(1.3627, 1.4713)"
