country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.101,1.0847,1.1173,"(1.0847, 1.1173)"
BE,10,1.197,1.1805,1.2135,"(1.1805, 1.2135)"
BG,10,1.181,1.1578,1.2042,"(1.1578, 1.2042)"
CH,10,1.049,1.0427,1.0553,"(1.0427, 1.0553)"
CZ,10,1.085,1.0737,1.0963,"(1.0737, 1.0963)"
DE,10,1.164,1.1522,1.1758,"(1.1522, 1.1758)"
DK,10,1.1,1.0812,1.1188,"(1.0812, 1.1188)"
EE,10,1.015,1.0112,1.0188,"(1.0112, 1.0188)"
EL,10,1.124,1.1074,1.1406,"(1.1074, 1.1406)"
ES,10,1.104,1.0922,1.1158,"(1.0922, 1.1158)"
FI,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)"
FR,10,1.075,1.0632,1.0868,"(1.0632, 1.0868)"
HR,10,1.077,1.0653,1.0887,"(1.0653, 1.0887)"
HU,10,1.066,1.0563,1.0757,"(1.0563, 1.0757)"
IE,10,1.0,,,N/A
IT,10,1.112,1.0955,1.1285,"(1.0955, 1.1285)"
LT,10,1.15,1.1393,1.1607,"(1.1393, 1.1607)"
LV,10,1.024,1.019,1.029,"(1.0190, 1.0290)"
NL,10,1.154,1.1343,1.1737,"(1.1343, 1.1737)"
NO,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)"
PL,10,1.014,1.0103,1.0177,"(1.0103, 1.0177)"
PT,10,1.048,1.0386,1.0574,"(1.0386, 1.0574)"
RO,10,1.157,1.1412,1.1728,"(1.1412, 1.1728)"
SE,10,1.021,1.0157,1.0263,"(1.0157, 1.0263)"
SK,10,1.002,0.999,1.005,"(0.9990, 1.0050)"
UK,10,1.157,1.1272,1.1868,"(1.1272, 1.1868)"
