country,n_scenarios,ratio,day
AT,1000,7.6348,271
BE,1000,2.6704,271
BG,1000,4.5382,271
CH,1000,48818985.0576,271
CZ,1000,5.2598,271
DE,1000,1.3801,271
DK,1000,3.3318,271
EE,1000,64537.1364,271
EL,1000,1.4074,271
ES,1000,1.3311,271
FI,1000,978338.672,271
FR,1000,1.9188,271
HR,1000,0.0,271
HU,1000,6.2064,271
IE,1000,31720.2103,271
IT,1000,1.3792,271
LT,1000,2218593.878,271
LU,1000,2.4997,271
LV,1000,7127.929,271
NL,1000,2.6362,271
NO,1000,5.1754,271
PL,1000,0.0,271
PT,1000,1.356,271
RO,1000,2.1192,271
SE,1000,1.9538,271
SI,1000,0.0,271
SK,1000,1.0,271
UK,1000,3.0203,271
AT,1000,5.4041,301
BE,1000,0.0,301
BG,1000,11.3713,301
CH,1000,1.4731,301
CZ,1000,0.0,301
DE,1000,6.3335,301
DK,1000,0.0,301
EE,1000,81495.2414,301
EL,1000,1.3068,301
ES,1000,1.3546,301
FI,1000,684472.0835,301
FR,1000,2.7182,301
HR,1000,14.4969,301
HU,1000,7.6191,301
IE,1000,386865.9736,301
IT,1000,1.6545,301
LT,1000,2247311.4127,301
LU,1000,1611846.1512,301
LV,1000,139559.9417,301
NL,1000,0.0,301
NO,1000,5673155.1395,301
PL,1000,87.5999,301
PT,1000,1.4334,301
RO,1000,3.9511,301
SE,1000,0.0,301
SI,1000,0.0,301
SK,1000,1.021,301
UK,1000,48.2031,301
AT,1000,8.2001,332
BE,1000,0.0,332
BG,1000,3.5002,332
CH,1000,1.3386,332
CZ,1000,0.0,332
DE,1000,0.0,332
DK,1000,0.0,332
EE,1000,0.0,332
EL,1000,1.3798,332
ES,1000,1.3644,332
FI,1000,0.0,332
FR,1000,1.6975,332
HR,1000,5.5991,332
HU,1000,3.2142,332
IE,1000,0.0,332
IT,1000,1.4795,332
LT,1000,0.0,332
LU,1000,0.0,332
LV,1000,0.0,332
NL,1000,0.0,332
NO,1000,0.0,332
PL,1000,0.0,332
PT,1000,1.5576,332
RO,1000,3.9952,332
SE,1000,0.0,332
SI,1000,0.0,332
SK,1000,1.0186,332
UK,1000,0.0,332
AT,1000,7.8668,362
BE,1000,0.0,362
BG,1000,3.1661,362
CH,1000,1.6497,362
CZ,1000,0.0,362
DE,1000,0.0,362
DK,1000,0.0,362
EE,1000,0.0,362
EL,1000,1.4283,362
ES,1000,1.5124,362
FI,1000,0.0,362
FR,1000,2.3979,362
HR,1000,6.916,362
HU,1000,21461598.8473,362
IE,1000,0.0,362
IT,1000,1.3614,362
LT,1000,0.0,362
LU,1000,0.0,362
LV,1000,0.0,362
NL,1000,0.0,362
NO,1000,1.0992,362
PL,1000,0.0,362
PT,1000,1.3379,362
RO,1000,2.9818,362
SE,1000,0.0,362
SI,1000,0.0,362
SK,1000,0.0,362
UK,1000,605.5889,362
