country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
RO,0.01000,332,10,2.73200,2.46659,2.98064,0.51405,0.00000,15.90387,43.44944,False
RO,0.01000,362,10,2.35312,2.13156,2.62207,0.49051,0.00000,14.93727,35.14918,False
RO,0.05000,271,10,2.89546,2.54475,3.28434,0.73959,0.02795,4.88962,14.23863,False
RO,0.05000,301,10,2.38164,2.28361,2.47891,0.19530,0.00000,21.36083,50.87372,False
RO,0.05000,332,10,2.41899,2.22376,2.58441,0.36065,0.00000,22.96773,55.55880,False
RO,0.05000,362,10,2.08527,1.92219,2.28416,0.36197,0.07814,22.10691,46.26180,False
RO,0.10000,271,10,2.84734,2.51569,3.15661,0.64092,0.38974,6.80473,20.48505,False
RO,0.10000,301,10,2.24489,2.15920,2.34007,0.18088,0.18449,26.97336,60.96644,False
RO,0.10000,332,10,2.12554,1.97004,2.28349,0.31345,1.51453,29.46634,65.85122,False
RO,0.10000,362,10,1.90299,1.68660,2.10910,0.42250,2.32506,27.63932,57.02195,False
SE,0.01000,271,10,2.33029,1.94113,2.82520,0.88407,0.00000,0.44653,1.04054,False
SE,0.01000,301,10,21.20151,11.92594,43.68009,31.75415,0.00000,0.02711,0.57467,True
SE,0.01000,332,10,49.35160,26.38062,173.72286,147.34224,0.00000,0.01619,0.79880,True
SE,0.01000,362,10,,,,,0.00000,0.00000,0.12496,True
SE,0.05000,271,10,2.62761,2.32908,2.93790,0.60881,0.00000,0.68361,1.79626,False
SE,0.05000,301,10,6.04439,4.72129,8.02325,3.30196,0.00000,0.21222,1.28272,False
SE,0.05000,332,10,9.72010,8.48071,11.06195,2.58124,0.00000,0.16741,1.62724,False
SE,0.05000,362,10,1.09356,1.05805,1.40572,0.34767,3.93818,0.00432,4.31136,False
SE,0.10000,271,10,3.05082,2.71665,3.42165,0.70500,0.00000,0.87732,2.67654,False
SE,0.10000,301,10,5.16933,4.41794,6.18395,1.76601,0.00000,0.39703,2.05239,False
SE,0.10000,332,10,1.89230,1.31397,4.30852,2.99455,1.31593,0.33172,3.11786,False
SE,0.10000,362,10,1.01654,1.00852,1.03110,0.02258,43.76362,0.00744,44.49500,False
SI,0.01000,271,10,1.13522,1.04580,1.77883,0.73303,0.00000,0.14538,0.16503,False
SI,0.01000,301,10,1.41663,1.25571,2.03783,0.78213,0.00000,0.11692,0.16563,False
SI,0.01000,332,10,1.16539,1.10537,1.25777,0.15241,0.00000,0.43820,0.51067,False
SI,0.01000,362,10,1.21368,1.11813,1.48104,0.36291,0.00000,0.18632,0.22614,False
SI,0.05000,271,10,1.02173,1.01071,1.03523,0.02452,0.00681,0.78635,0.81040,False
SI,0.05000,301,10,1.03040,0.98829,1.06159,0.07329,0.02253,0.79478,0.84215,False
SI,0.05000,332,10,1.03244,1.00902,1.05540,0.04639,0.02529,1.28184,1.34953,False
SI,0.05000,362,10,1.04021,1.01897,1.06175,0.04278,0.01546,0.93462,0.98829,False
SI,0.10000,271,10,0.98242,0.95706,1.00510,0.04803,0.05540,1.42432,1.45371,False
SI,0.10000,301,10,1.00422,0.98062,1.02406,0.04344,0.04804,1.41671,1.47093,False
SI,0.10000,332,10,1.02372,1.00801,1.04005,0.03204,0.03514,2.11967,2.20592,False
SI,0.10000,362,10,1.01749,1.00773,1.02789,0.02016,0.02567,1.70130,1.75718,False
SK,0.01000,271,10,1.04000,1.02648,1.05617,0.02969,0.00000,1.59359,1.65733,False
SK,0.01000,301,10,1.03070,1.02506,1.03800,0.01295,0.00000,2.66971,2.75167,False
SK,0.01000,332,10,1.02453,1.01929,1.03266,0.01337,0.00000,2.69129,2.75732,False
SK,0.01000,362,10,1.04555,1.03371,1.06651,0.03280,0.00000,1.03709,1.08433,False
SK,0.05000,271,10,1.01606,1.01187,1.02065,0.00878,0.00795,4.00589,4.07830,False
SK,0.05000,301,10,1.01333,1.00988,1.01697,0.00709,0.01476,4.91236,4.99282,False
SK,0.05000,332,10,1.00628,1.00241,1.00975,0.00733,0.03268,5.18756,5.25303,False
SK,0.05000,362,10,1.01805,1.01236,1.02381,0.01145,0.01144,2.65866,2.71830,False
SK,0.10000,271,10,1.00665,1.00274,1.01038,0.00764,0.03280,6.03767,6.11086,False
SK,0.10000,301,10,1.00458,1.00162,1.00736,0.00575,0.04280,7.26588,7.34218,False
SK,0.10000,332,10,1.00067,0.99699,1.00396,0.00697,0.04910,7.28785,7.34190,False
SK,0.10000,362,10,1.00435,0.99745,1.01070,0.01325,0.04465,4.14892,4.21182,False
UK,0.01000,271,10,3.14829,2.82900,3.57534,0.74634,0.00000,101.15745,318.47251,False
UK,0.01000,301,10,3.52413,2.71482,4.76925,2.05443,0.00000,18.72481,65.98866,False
UK,0.01000,332,10,26.33273,15.22793,110.19119,94.96326,0.00000,2.56820,67.62781,True
UK,0.01000,362,10,1.59873,1.37937,2.22384,0.84447,215.11417,0.00000,343.90857,False
UK,0.05000,271,10,2.67670,2.52167,2.84822,0.32655,7.02256,148.79806,417.08501,False
UK,0.05000,301,10,2.44345,2.07662,2.88465,0.80803,0.00000,50.62855,123.70832,False
UK,0.05000,332,10,3.42522,2.48876,5.53813,3.04937,15.74153,18.89953,118.65341,False
UK,0.05000,362,10,1.11751,1.06787,1.19659,0.12872,783.76834,0.00000,875.86736,False
UK,0.10000,271,10,2.18128,2.03592,2.36110,0.32518,50.27079,184.29983,511.66429,False
UK,0.10000,301,10,2.22456,1.98218,2.49300,0.51082,0.00000,80.54292,179.17249,False
UK,0.10000,332,10,1.69826,1.38175,2.41815,1.03640,74.29443,36.62714,188.37421,False
UK,0.10000,362,10,1.06438,1.04809,1.08832,0.04023,1245.17279,0.15088,1325.50009,False
