country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
CZ,0.05000,362,10,2.27481,2.08399,2.53916,0.45517,0.05845,6.63556,15.22764,False
CZ,0.10000,271,10,1.33639,1.27498,1.41522,0.14024,0.00091,11.51245,15.38630,False
CZ,0.10000,301,10,1.39133,1.34293,1.45427,0.11134,0.00168,18.34555,25.52706,False
CZ,0.10000,332,10,1.62757,1.50997,1.76569,0.25572,0.00182,15.36456,25.00981,False
CZ,0.10000,362,10,1.65318,1.51796,1.79956,0.28160,1.13970,11.84572,21.46718,False
DE,0.01000,271,10,1.95360,1.68614,2.24238,0.55624,0.00000,355.35786,694.22706,False
DE,0.01000,301,10,2.54979,2.08248,3.16665,1.08417,0.00000,212.07853,540.75481,False
DE,0.01000,332,10,4.40911,3.41374,6.15331,2.73957,0.00000,101.32971,446.77340,False
DE,0.01000,362,10,16.39388,8.18459,53.41172,45.22713,0.00000,30.98111,507.90063,False
DE,0.05000,271,10,2.01321,1.81136,2.20364,0.39229,0.00000,495.10962,996.75841,False
DE,0.05000,301,10,2.28843,2.06310,2.52527,0.46217,0.00000,351.45984,804.29200,False
DE,0.05000,332,10,3.28559,2.83341,3.79042,0.95701,0.00000,223.58058,734.59362,False
DE,0.05000,362,10,6.18368,5.02564,7.77107,2.74543,27.93324,121.37088,923.24846,False
DE,0.10000,271,10,2.06456,1.91694,2.20477,0.28783,10.18746,610.92051,1282.31649,False
DE,0.10000,301,10,2.14554,1.98767,2.31578,0.32811,0.00000,487.03746,1044.95932,False
DE,0.10000,332,10,2.91225,2.66941,3.23627,0.56685,13.37303,323.29087,980.45033,False
DE,0.10000,362,10,1.82770,1.60603,2.14662,0.54060,592.56262,215.70249,1477.26762,False
DK,0.01000,271,10,3.57534,2.97383,4.48692,1.51309,0.00000,7.05845,25.23634,False
DK,0.01000,301,10,13.19236,8.13066,27.35827,19.22762,0.00000,0.75012,9.89589,False
DK,0.01000,332,10,60.46160,31.06260,198.31908,167.25648,0.00000,0.08960,5.41760,True
DK,0.01000,362,10,3.85869,2.47759,10.90279,8.42521,0.61977,0.00000,2.39152,False
DK,0.05000,271,10,3.16825,2.74985,3.65575,0.90590,0.05034,11.32772,36.04850,False
DK,0.05000,301,10,7.56229,5.97845,9.29312,3.31467,0.00000,2.50147,18.91687,False
DK,0.05000,332,10,6.86065,5.45403,8.85399,3.39997,0.00000,1.53187,10.50966,False
