country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.168,1.1219,1.2141,"(1.1219, 1.2141)"
BE,10,1.283,1.2536,1.3124,"(1.2536, 1.3124)"
BG,10,1.385,1.3494,1.4206,"(1.3494, 1.4206)"
CH,10,1.063,1.0562,1.0698,"(1.0562, 1.0698)"
CZ,10,1.141,1.1265,1.1555,"(1.1265, 1.1555)"
DE,10,1.278,1.2498,1.3062,"(1.2498, 1.3062)"
DK,10,1.123,1.0996,1.1464,"(1.0996, 1.1464)"
EE,10,1.036,1.0247,1.0473,"(1.0247, 1.0473)"
EL,10,1.2,1.1739,1.2261,"(1.1739, 1.2261)"
ES,10,1.099,1.0845,1.1135,"(1.0845, 1.1135)"
FI,10,1.012,1.009,1.015,"(1.0090, 1.0150)"
FR,10,1.173,1.1396,1.2064,"(1.1396, 1.2064)"
HR,10,1.128,1.1093,1.1467,"(1.1093, 1.1467)"
HU,10,1.14,1.098,1.182,"(1.0980, 1.1820)"
IE,10,1.0,,,N/A
IT,10,1.112,1.0999,1.1241,"(1.0999, 1.1241)"
LT,10,1.238,1.204,1.272,"(1.2040, 1.2720)"
LU,10,1.268,1.2386,1.2974,"(1.2386, 1.2974)"
LV,10,1.055,1.0442,1.0658,"(1.0442, 1.0658)"
NL,10,1.226,1.1909,1.2611,"(1.1909, 1.2611)"
NO,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)"
PL,10,1.019,1.0086,1.0294,"(1.0086, 1.0294)"
PT,10,1.054,1.0432,1.0648,"(1.0432, 1.0648)"
RO,10,1.195,1.1616,1.2284,"(1.1616, 1.2284)"
SE,10,1.102,1.0886,1.1154,"(1.0886, 1.1154)"
SI,10,1.011,1.0087,1.0133,"(1.0087, 1.0133)"
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)"
UK,10,1.199,1.1753,1.2227,"(1.1753, 1.2227)"
