country,95% CI for ratio
AT,"(0.9458, 1.0762)"
BE,"(1.1865, 1.2835)"
BG,"(1.0690, 1.1810)"
CH,"(0.8691, 0.8929)"
CZ,"(1.0260, 1.0660)"
DE,"(1.4696, 1.7284)"
DK,"(1.1320, 1.2420)"
EE,"(0.5716, 0.6004)"
ES,"(1.1681, 1.2439)"
FI,"(0.6489, 0.7111)"
FR,"(1.3177, 1.4323)"
EL,"(1.1378, 1.1742)"
HR,"(0.6492, 0.6668)"
HU,"(0.6366, 0.6534)"
IE,"(0.7592, 0.8128)"
IT,"(1.1405, 1.1975)"
LT,"(0.6899, 0.7141)"
LU,"(0.6691, 0.6969)"
LV,"(0.5112, 0.5188)"
NL,"(1.1706, 1.2774)"
NO,"(0.7765, 0.8095)"
PL,"(0.8547, 0.8953)"
PT,"(0.9496, 0.9924)"
RO,"(1.1156, 1.3284)"
SI,"(0.6490, 0.6590)"
SK,"(0.7695, 0.7765)"
SE,"(0.8630, 0.8930)"
UK,"(1.4996, 1.6504)"
