country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,4.0577,2.9791,5.1363,"(2.9791, 5.1363)"
BE,8,13.4545,5.07,21.8391,"(5.0700, 21.8391)"
BG,10,2.8484,2.2014,3.4954,"(2.2014, 3.4954)"
CH,10,1.2442,1.1445,1.3438,"(1.1445, 1.3438)"
CZ,7,3.7624,1.8967,5.6281,"(1.8967, 5.6281)"
DE,10,5.419,3.5419,7.2962,"(3.5419, 7.2962)"
DK,3,23.4456,---,---,---
EE,0,---,---,---,---
EL,10,1.3806,1.2793,1.4819,"(1.2793, 1.4819)"
ES,10,1.3911,1.2731,1.5092,"(1.2731, 1.5092)"
FI,0,---,---,---,---
FR,10,1.7347,1.5257,1.9436,"(1.5257, 1.9436)"
HR,10,4.8236,2.8114,6.8357,"(2.8114, 6.8357)"
HU,10,3.0998,2.5156,3.684,"(2.5156, 3.6840)"
IE,0,---,---,---,---
IT,10,1.5434,1.3852,1.7016,"(1.3852, 1.7016)"
LT,2,8.4377,---,---,---
LU,2,18.232,---,---,---
LV,3,9.0097,---,---,---
NL,5,28.119,---,---,---
NO,8,1.9426,0.7386,3.1467,"(0.7386, 3.1467)"
PL,10,15.2225,7.7298,22.7152,"(7.7298, 22.7152)"
PT,10,1.5703,1.4681,1.6725,"(1.4681, 1.6725)"
RO,10,2.7794,2.4994,3.0594,"(2.4994, 3.0594)"
SE,4,21.3464,---,---,---
SI,10,1.2463,1.0909,1.4016,"(1.0909, 1.4016)"
SK,10,1.0281,1.0155,1.0407,"(1.0155, 1.0407)"
UK,4,14.715,---,---,---
