country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.125,1.1166,1.1334,"(1.1166, 1.1334)"
BE,10,1.363,1.3268,1.3992,"(1.3268, 1.3992)"
BG,10,1.296,1.2593,1.3327,"(1.2593, 1.3327)"
CH,10,1.062,1.0564,1.0676,"(1.0564, 1.0676)"
CZ,10,1.199,1.1691,1.2289,"(1.1691, 1.2289)"
DE,10,1.323,1.271,1.375,"(1.2710, 1.3750)"
DK,10,1.105,1.0726,1.1374,"(1.0726, 1.1374)"
EE,10,1.019,1.0137,1.0243,"(1.0137, 1.0243)"
EL,10,1.237,1.1933,1.2807,"(1.1933, 1.2807)"
ES,10,1.142,1.0952,1.1888,"(1.0952, 1.1888)"
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)"
FR,10,1.282,1.2096,1.3544,"(1.2096, 1.3544)"
HR,10,1.167,1.126,1.208,"(1.1260, 1.2080)"
HU,10,1.093,1.0742,1.1118,"(1.0742, 1.1118)"
IE,10,1.0,,,N/A
IT,10,1.238,1.2003,1.2757,"(1.2003, 1.2757)"
LT,10,1.188,1.1285,1.2475,"(1.1285, 1.2475)"
LU,10,1.338,1.3115,1.3645,"(1.3115, 1.3645)"
LV,10,1.036,1.0252,1.0468,"(1.0252, 1.0468)"
NL,10,1.196,1.1733,1.2187,"(1.1733, 1.2187)"
NO,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)"
PL,10,1.047,1.0387,1.0553,"(1.0387, 1.0553)"
PT,10,1.06,1.0493,1.0707,"(1.0493, 1.0707)"
RO,10,1.197,1.1711,1.2229,"(1.1711, 1.2229)"
SE,10,1.026,1.0176,1.0344,"(1.0176, 1.0344)"
SI,10,1.024,1.018,1.03,"(1.0180, 1.0300)"
SK,10,1.01,,,N/A
UK,10,1.264,1.2003,1.3277,"(1.2003, 1.3277)"
