country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.201,1.1541,1.2479,"(1.1541, 1.2479)"
BE,10,1.471,1.4206,1.5214,"(1.4206, 1.5214)"
BG,10,1.361,1.3245,1.3975,"(1.3245, 1.3975)"
CH,10,1.08,1.0657,1.0943,"(1.0657, 1.0943)"
CZ,10,1.21,1.1884,1.2316,"(1.1884, 1.2316)"
DE,10,1.374,1.3249,1.4231,"(1.3249, 1.4231)"
DK,10,1.145,1.0981,1.1919,"(1.0981, 1.1919)"
EE,10,1.059,1.042,1.076,"(1.0420, 1.0760)"
EL,10,1.295,1.2644,1.3256,"(1.2644, 1.3256)"
ES,10,1.227,1.1915,1.2625,"(1.1915, 1.2625)"
FI,10,1.013,1.0095,1.0165,"(1.0095, 1.0165)"
FR,10,1.362,1.3137,1.4103,"(1.3137, 1.4103)"
HR,10,1.264,1.2306,1.2974,"(1.2306, 1.2974)"
HU,10,1.149,1.1191,1.1789,"(1.1191, 1.1789)"
IE,10,1.0,,,N/A
IT,10,1.272,1.251,1.293,"(1.2510, 1.2930)"
LT,10,1.365,1.2895,1.4405,"(1.2895, 1.4405)"
LU,10,1.337,1.286,1.388,"(1.2860, 1.3880)"
LV,10,1.071,1.054,1.088,"(1.0540, 1.0880)"
NL,10,1.376,1.3163,1.4357,"(1.3163, 1.4357)"
NO,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)"
PL,10,1.059,1.0519,1.0661,"(1.0519, 1.0661)"
PT,10,1.105,1.0868,1.1232,"(1.0868, 1.1232)"
RO,10,1.308,1.2586,1.3574,"(1.2586, 1.3574)"
SE,10,1.039,1.0286,1.0494,"(1.0286, 1.0494)"
SI,10,1.025,1.0173,1.0327,"(1.0173, 1.0327)"
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)"
UK,10,1.292,1.2091,1.3749,"(1.2091, 1.3749)"
