hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.7950521853857349,4.506598103828212,0.8256785167434448,1.7577760922080938,2.549974270225012,1.0152764005887738,0.0,2.046922524093361,0.12152632497966187,1.45844735615034,0.7542448814868319,2.7804061367119752,1.5031373828512942,0.0,0.9131111253962431,2.9093714912748334,1.1253338851797565,0.8868524892362168,1.0006959184513091,0.0,2.0283354795835464,1.7615949751057989,4.756233837353525,1.1311420285408795,1.8325691233179149,0.3740552314901793,2.1729629955248084,4.178425423506091,2.675057734650671,1.0779458206158594,1.7770602243495555,0.12854258535211693,1.194390215822175,1.641425283247699,0.44732980724405746,1.7808892530292035,0.0,1.4966487592154407,1.9233078193043744,0.562411966076021,3.5774821106179235,0.0,2.9604755089037034,2.0896172740663626,1.742846306680641,1.5473102401706953,2.628492932084339,3.361849619067815,0.8769655050909585,4.516268342832154,0.12179240510268352,0.9656262086701856,0.756917085702969,1.2796114704270396,2.1696423703831016,4.838306772095436,1.6410110078498368,0.7633028128122454,2.7915966612425818,3.2177100330309116,3.1165943070192563,0.4810062808643687,0.0,2.8538893619863996,0.0,0.0,2.085601910902817,2.780456473058953,3.407047904579097,2.595691643589803,2.9526857409969622,0.0,1.76804217575948,4.170694507539963,1.0525152970360496,1.9520871070793233,4.494580110170034,0.43670356552564016,3.17195750372977,0.14611559381060335,0.775309924208847,1.3864638611157611,0.7412529441926625,2.6327524079201714,3.112328274261184,4.156423875971496,2.234995246210603,1.9526272726933562,1.3852285569550074,1.436342058975985,2.974772178538834,1.3527061443169281,0.5610526628324408,2.1376867173488536,3.701054390835375,2.1029722644395683,2.222492067365472,0.0,0.24546973417865314,4.6634007356818525
8,3.7240785748811414,1.1127753194091439,3.3786966739513207,2.510603203283153,3.219240404698299,3.11480796897276,0.9718901621563392,3.27948946448923,1.0173307305046961,0.7219661560798907,2.1036129813634394,4.39144680586784,4.235711080518968,4.145552034151128,1.832038520941473,2.9288314651294316,5.608470839127117,4.631923045872989,1.3822058615104174,5.428228061841452,1.2107629007543896,3.2684525419449226,1.1356405410353183,1.842973833189736,1.699818228881219,3.4076972395450946,2.6575412122600515,2.0814751283877295,2.412761528494577,1.7469784964424435,1.3955857413623436,2.0841804040810263,6.562719799717696,0.0,2.062420864753574,0.9866513127125136,4.129490614824915,4.291523426015569,2.426539423392279,5.466623062479417,1.181530846411454,0.0,1.234850384036788,0.0,4.119324775859753,4.749471532317137,3.0050305759084033,0.3873570185000217,1.9858620345842757,4.195683039337059,3.6620191725489297,1.1621128306866297,1.6477271089355754,1.298009234165581,2.6704473305048593,3.115893712813609,0.37995602516415694,0.0,0.48413124440937017,0.0,3.5159180686189275,1.7675205745613656,0.4209444582665167,1.6172853672551382,3.4610201262990286,3.406919463484042,2.1251697868779207,0.0,1.6251949510016792,1.9425426162458286,5.588250370991375,2.70955009776845,0.0,3.12067834794488,3.766608529971638,1.796126854875824,0.6679665640565344,2.9099322628025295,1.6491400900291708,4.218317190597541,0.8462876054484016,1.50769390531467,3.2667991863211263,0.0,3.750088989727152,0.7846687799038439,1.8412958606012269,3.2672443070291397,3.8880603152554887,3.8975564535544187,3.5855752834143995,2.798829606977924,2.731802603310044,1.6828471410034662,1.607006829672375,4.379537359962002,1.6910194590035297,1.760241376922676,4.790726325676456,1.121558219071758
9,1.4573897545223815,1.686319547627745,0.7838353005215726,0.0,1.0170972599691697,0.5675183969847655,0.0,4.770547284687094,0.0,0.9837398536699473,2.597473022555227,0.8169618212971304,1.0765220746661672,0.0,0.0,0.0,3.8178154060406513,0.20344706719441205,1.0094075782566188,1.0891158548952506,0.0,2.075259053739233,0.0,1.0024513730295344,1.8617412777441722,2.0808386732059923,1.2096851956943298,0.0,0.7769245142000047,0.0,0.39371567762271864,0.687312552202886,0.909417090114206,0.22180951050365377,0.6865699872803213,0.8498223071252791,0.0,0.5240264688682615,0.9918113798145793,0.0,0.0,2.086089594215937,1.5415147927084578,0.8936505778987858,1.7772174001362504,1.2539137420257793,1.8951233963917953,2.9450994403376627,0.0,1.3079368663491135,0.30396730150553286,4.216997589567191,1.0042200040081408,0.0,1.177517026888944,0.0,0.0,0.7224252624859047,0.0,1.7446745025991324,0.7436293456798098,0.0,0.0,0.0,0.0,1.0000118911931997,2.6757018878609524,0.4084534099729361,1.7465452056358133,0.0,0.0,1.5172962799864902,0.0,0.12519426075048987,1.502690229562988,0.5440665653838228,0.0,1.2592814586341836,0.0,0.0,0.0,2.1834813287743255,0.0,3.0076020314906473,0.0,0.0,0.0,0.0,2.648464690557705,0.0,0.7678901597631695,1.9354278384264971,0.0,0.0,0.0,0.0,0.0,0.0,1.1358186739349991,1.049551593553129
