set_number,combine objective,solar objective,wind objective,ratio
1,308.524,62.062,199.512,1.18
2,277.285,61.652,177.314,1.16
3,252.236,63.434,153.335,1.16
4,269.586,60.551,185.14,1.1
5,254.988,59.455,160.75,1.16
6,259.911,62.712,164.444,1.14
7,280.387,64.279,183.169,1.13
8,282.406,60.177,170.082,1.23
9,276.145,64.391,167.638,1.19
10,277.429,61.241,183.989,1.13
