set_number,combine objective,solar objective,wind objective,ratio
1,51.6,0.683,50.717,1.0
2,41.759,0.694,40.646,1.01
3,54.065,0.674,52.851,1.01
4,44.638,0.677,43.507,1.01
5,44.078,0.695,43.089,1.01
6,49.647,0.687,48.572,1.01
7,46.396,0.67,45.467,1.01
8,63.869,0.684,62.932,1.0
9,42.334,0.682,41.392,1.01
10,52.64,0.695,51.758,1.0
