set_number,combine objective,solar objective,wind objective,ratio
1,36.042,35.819,0.099,1.0
2,37.539,37.268,0.085,1.0
3,35.124,34.927,0.088,1.0
4,36.491,35.964,0.097,1.01
5,38.145,37.868,0.088,1.0
6,35.688,35.297,0.093,1.01
7,36.589,36.278,0.085,1.01
8,36.328,35.83,0.093,1.01
9,36.261,35.986,0.091,1.01
10,36.196,36.013,0.087,1.0
