set_number,combine objective,solar objective,wind objective,ratio
1,164.797,4.729,155.909,1.03
2,175.876,4.796,166.275,1.03
3,170.03,4.313,160.232,1.03
4,160.598,4.462,151.992,1.03
5,175.357,4.615,166.233,1.03
6,173.899,4.837,164.241,1.03
7,169.007,4.528,160.67,1.02
8,181.454,4.76,170.12,1.04
9,171.699,4.473,160.514,1.04
10,174.211,4.47,165.057,1.03
