set_number,combine objective,solar objective,wind objective,ratio
1,1763.06,758.912,867.755,1.08
2,1799.775,768.646,796.302,1.15
3,1771.288,751.35,799.003,1.14
4,1595.176,758.908,629.607,1.15
5,1551.027,742.993,567.332,1.18
6,1640.43,780.949,624.907,1.17
7,1761.082,770.091,770.961,1.14
8,1622.676,752.598,546.185,1.25
9,1686.887,746.42,709.471,1.16
10,1662.353,733.638,625.583,1.22
