set_number,combine objective,solar objective,wind objective,ratio
1,14.171,3.109,8.202,1.25
2,14.815,2.972,8.414,1.3
3,14.277,3.031,8.441,1.24
4,13.429,3.164,8.138,1.19
5,13.11,2.915,8.169,1.18
6,13.003,2.877,8.102,1.18
7,12.939,2.723,8.016,1.2
8,14.429,2.907,8.497,1.27
9,13.238,3.081,8.204,1.17
10,13.34,3.069,8.277,1.18
