set_number,combine objective,solar objective,wind objective,ratio
1,15.468,15.307,0.091,1.0
2,15.87,15.624,0.085,1.01
3,15.321,15.063,0.095,1.01
4,16.299,15.985,0.086,1.01
5,15.584,15.266,0.086,1.02
6,16.061,15.679,0.09,1.02
7,14.806,14.526,0.083,1.01
8,15.713,15.572,0.082,1.0
9,16.11,15.866,0.086,1.01
10,15.207,14.832,0.09,1.02
