set_number,combine objective,solar objective,wind objective,ratio
1,11.05,7.636,1.646,1.19
2,10.62,7.337,1.652,1.18
3,11.254,7.477,1.719,1.22
4,11.581,7.94,1.668,1.21
5,11.145,7.436,1.683,1.22
6,10.889,7.637,1.652,1.17
7,10.995,7.453,1.677,1.2
8,11.197,7.513,1.762,1.21
9,11.424,7.413,1.688,1.26
10,10.573,7.335,1.635,1.18
