set_number,combine objective,solar objective,wind objective,ratio
1,18.745,2.567,14.608,1.09
2,17.172,2.58,13.071,1.1
3,17.538,2.674,13.498,1.08
4,17.48,2.643,13.218,1.1
5,17.215,2.521,13.757,1.06
6,19.674,2.645,15.754,1.07
7,18.342,2.663,14.026,1.1
8,19.106,2.591,15.269,1.07
9,18.326,2.73,14.22,1.08
10,18.48,2.699,14.52,1.07
