set_number,combine objective,solar objective,wind objective,ratio
1,14.557,2.252,10.658,1.13
2,13.983,2.232,10.509,1.1
3,14.419,2.243,10.537,1.13
4,14.463,2.226,10.858,1.11
5,14.344,2.144,10.512,1.13
6,15.177,2.234,10.713,1.17
7,14.468,2.296,10.473,1.13
8,14.661,2.28,10.69,1.13
9,15.139,2.352,10.851,1.15
10,13.796,2.332,10.653,1.06
